iata,url
AUS,https://en.wikipedia.org/wiki/Austin%E2%80%93Bergstrom_International_Airport
CSW,https://en.wikipedia.org/wiki/Cabo_San_Lucas_International_Airport
CJS,https://en.wikipedia.org/wiki/Ciudad_Ju%C3%A1rez_International_Airport
None,https://en.wikipedia.org/wiki/Dallas/Fort_Worth_International_Airport
None,https://en.wikipedia.org/wiki/Del_Baj%C3%ADo_International_Airport
DTW,https://en.wikipedia.org/wiki/Detroit_Metropolitan_Airport
NLU,https://en.wikipedia.org/wiki/Felipe_%C3%81ngeles_International_Airport
MLM,https://en.wikipedia.org/wiki/General_Francisco_Mujica_International_Airport
IAH,https://en.wikipedia.org/wiki/George_Bush_Intercontinental_Airport
GDL,https://en.wikipedia.org/wiki/Guadalajara_International_Airport
JFK,https://en.wikipedia.org/wiki/John_F._Kennedy_International_Airport
SNA,https://en.wikipedia.org/wiki/John_Wayne_Airport
MCI,https://en.wikipedia.org/wiki/Kansas_City_International_Airport
MXL,https://en.wikipedia.org/wiki/Mexicali_International_Airport
MEX,https://en.wikipedia.org/wiki/Mexico_City_International_Airport
MTY,https://en.wikipedia.org/wiki/Monterrey_International_Airport
EWR,https://en.wikipedia.org/wiki/Newark_Liberty_International_Airport
PDX,https://en.wikipedia.org/wiki/Portland_International_Airport
QRO,https://en.wikipedia.org/wiki/Quer%C3%A9taro_Intercontinental_Airport
YQB,https://en.wikipedia.org/wiki/Qu%C3%A9bec_City_Jean_Lesage_International_Airport
SMF,https://en.wikipedia.org/wiki/Sacramento_International_Airport
SAN,https://en.wikipedia.org/wiki/San_Diego_International_Airport
SJC,https://en.wikipedia.org/wiki/San_Jose_International_Airport
SLP,https://en.wikipedia.org/wiki/San_Luis_Potos%C3%AD_International_Airport
STL,https://en.wikipedia.org/wiki/St._Louis_Lambert_International_Airport
TIJ,https://en.wikipedia.org/wiki/Tijuana_International_Airport
TLC,https://en.wikipedia.org/wiki/Toluca_International_Airport
PRG,https://en.wikipedia.org/wiki/V%C3%A1clav_Havel_Airport_Prague
HOU,https://en.wikipedia.org/wiki/William_P._Hobby_Airport
SPI,https://en.wikipedia.org/wiki/Abraham_Lincoln_Capital_Airport
ADD,https://en.wikipedia.org/wiki/Addis_Ababa_Bole_International_Airport
None,https://en.wikipedia.org/wiki/Adolfo_Su%C3%A1rez_Madrid%E2%80%93Barajas_Airport
CAK,https://en.wikipedia.org/wiki/Akron%E2%80%93Canton_Airport
ALB,https://en.wikipedia.org/wiki/Albany_International_Airport
ABQ,https://en.wikipedia.org/wiki/Albuquerque_International_Sunport
ATW,https://en.wikipedia.org/wiki/Appleton_International_Airport
AVL,https://en.wikipedia.org/wiki/Asheville_Regional_Airport
ASE,https://en.wikipedia.org/wiki/Aspen/Pitkin_County_Airport
ATH,https://en.wikipedia.org/wiki/Athens_International_Airport
AKL,https://en.wikipedia.org/wiki/Auckland_Airport
None,https://en.wikipedia.org/wiki/Austin-Bergstrom_International_Airport
BJX,https://en.wikipedia.org/wiki/Baj%C3%ADo_International_Airport
BWI,https://en.wikipedia.org/wiki/Baltimore/Washington_International_Airport
BGR,https://en.wikipedia.org/wiki/Bangor_International_Airport
BEG,https://en.wikipedia.org/wiki/Belgrade_Nikola_Tesla_Airport
TLV,https://en.wikipedia.org/wiki/Ben_Gurion_Airport
BIL,https://en.wikipedia.org/wiki/Billings_Logan_International_Airport
BHM,https://en.wikipedia.org/wiki/Birmingham%E2%80%93Shuttlesworth_International_Airport
FNT,https://en.wikipedia.org/wiki/Bishop_International_Airport
BIS,https://en.wikipedia.org/wiki/Bismarck_Municipal_Airport
LEX,https://en.wikipedia.org/wiki/Blue_Grass_Airport
BOI,https://en.wikipedia.org/wiki/Boise_Airport
BZN,https://en.wikipedia.org/wiki/Bozeman_Yellowstone_International_Airport
BDL,https://en.wikipedia.org/wiki/Bradley_International_Airport
BRU,https://en.wikipedia.org/wiki/Brussels_Airport
BUF,https://en.wikipedia.org/wiki/Buffalo_Niagara_International_Airport
None,https://en.wikipedia.org/wiki/Burlington_International_Airport
HYA,https://en.wikipedia.org/wiki/Cape_Cod_Gateway_Airport
CGI,https://en.wikipedia.org/wiki/Cape_Girardeau_Regional_Airport
LAN,https://en.wikipedia.org/wiki/Capital_Region_International_Airport
BMI,https://en.wikipedia.org/wiki/Central_Illinois_Regional_Airport
CWA,https://en.wikipedia.org/wiki/Central_Wisconsin_Airport
CDG,https://en.wikipedia.org/wiki/Charles_de_Gaulle_Airport
CHS,https://en.wikipedia.org/wiki/Charleston_International_Airport
CLT,https://en.wikipedia.org/wiki/Charlotte_Douglas_International_Airport
CHO,https://en.wikipedia.org/wiki/Charlottesville%E2%80%93Albemarle_Airport
CHA,https://en.wikipedia.org/wiki/Chattanooga_Metropolitan_Airport
TVC,https://en.wikipedia.org/wiki/Cherry_Capital_Airport
CIU,https://en.wikipedia.org/wiki/Chippewa_County_International_Airport
EAU,https://en.wikipedia.org/wiki/Chippewa_Valley_Regional_Airport
CVG,https://en.wikipedia.org/wiki/Cincinnati/Northern_Kentucky_International_Airport
None,https://en.wikipedia.org/wiki/City_of_Colorado_Springs_Municipal_Airport
CLE,https://en.wikipedia.org/wiki/Cleveland_Hopkins_International_Airport
LIT,https://en.wikipedia.org/wiki/Clinton_National_Airport
COS,https://en.wikipedia.org/wiki/Colorado_Springs_Airport
CAE,https://en.wikipedia.org/wiki/Columbia_Metropolitan_Airport
COU,https://en.wikipedia.org/wiki/Columbia_Regional_Airport
CPH,https://en.wikipedia.org/wiki/Copenhagen_Airport
CZM,https://en.wikipedia.org/wiki/Cozumel_International_Airport
CUR,https://en.wikipedia.org/wiki/Cura%C3%A7ao_International_Airport
STT,https://en.wikipedia.org/wiki/Cyril_E._King_Airport
DFW,https://en.wikipedia.org/wiki/Dallas_Fort_Worth_International_Airport
DAL,https://en.wikipedia.org/wiki/Dallas_Love_Field
MSN,https://en.wikipedia.org/wiki/Dane_County_Regional_Airport
DAY,https://en.wikipedia.org/wiki/Dayton_International_Airport
DEC,https://en.wikipedia.org/wiki/Decatur_Airport
DSM,https://en.wikipedia.org/wiki/Des_Moines_International_Airport
VPS,https://en.wikipedia.org/wiki/Destin%E2%80%93Fort_Walton_Beach_Airport
None,https://en.wikipedia.org/wiki/Detroit_Metropolitan_Wayne_County_Airport
DXB,https://en.wikipedia.org/wiki/Dubai_International_Airport
DUB,https://en.wikipedia.org/wiki/Dublin_Airport
DBQ,https://en.wikipedia.org/wiki/Dubuque_Regional_Airport
DLH,https://en.wikipedia.org/wiki/Duluth_International_Airport
EGE,https://en.wikipedia.org/wiki/Eagle_County_Regional_Airport
CID,https://en.wikipedia.org/wiki/Eastern_Iowa_Airport
EDI,https://en.wikipedia.org/wiki/Edinburgh_Airport
BOG,https://en.wikipedia.org/wiki/El_Dorado_International_Airport
ELP,https://en.wikipedia.org/wiki/El_Paso_International_Airport
SAL,https://en.wikipedia.org/wiki/El_Salvador_International_Airport
OMA,https://en.wikipedia.org/wiki/Eppley_Airfield
EVV,https://en.wikipedia.org/wiki/Evansville_Regional_Airport
FAI,https://en.wikipedia.org/wiki/Fairbanks_International_Airport
FOD,https://en.wikipedia.org/wiki/Fort_Dodge_Regional_Airport
FWA,https://en.wikipedia.org/wiki/Fort_Wayne_International_Airport
FRA,https://en.wikipedia.org/wiki/Frankfurt_Airport
FAT,https://en.wikipedia.org/wiki/Fresno_Yosemite_International_Airport
SUN,https://en.wikipedia.org/wiki/Friedman_Memorial_Airport
None,https://en.wikipedia.org/wiki/General_Wayne_A._Downing_Peoria_International_Airport
GRR,https://en.wikipedia.org/wiki/Gerald_R._Ford_International_Airport
