"origin","nb_outlinks","outlinks","weights","nb_airlines"
"CUM","1","CCS","1","1"
"CUN","141","ACA AGU AMS ARN ATL AUS BCN BFS BHX BJX BNA BOG BOS BSB BWI BZE CCS CDG CHS CJS CLE CLT CMH CMW COS CUL CUU CVG CWL DEN DFW DTW DUB EWR EZE FCO FLL FRA GDL GUA HAV HMO HOU HRL IAD IAH IND IST JFK KTW LAS LAX LGW LHR LIM LIS MAD MAN MCI MCO MDE MDW MEM MEX MIA MKE MLM MSP MSY MTY MXL MXP NCL NLU OAX OKC ORD ORF ORY OSL PBC PDX PHL PHX PIT PTY PUJ PVD PVR QRO RDU REX RIC SAL SAT SCL SDQ SEA SFO SJD SJO SLC SLP SLW STL TAM TGZ TIJ TLC TPA TRC TUL VER VRN VSA WAW YBG YDF YEG YFC YHM YHZ YKF YLW YOW YQB YQG YQM YQR YQT YUL YVR YWG YXE YXU YYC YYG YYJ YYT YYZ ZRH","1 1 2 1 2 3 1 1 1 2 3 3 3 1 2 1 1 1 1 1 2 2 3 1 1 1 1 4 1 3 3 2 2 2 1 1 1 2 2 2 1 1 1 1 1 2 3 1 3 1 1 3 2 1 1 2 3 1 4 3 2 2 1 3 3 2 1 2 2 2 1 1 1 3 1 1 4 1 1 1 2 1 2 2 3 1 1 1 1 2 4 1 1 1 2 1 1 2 2 1 2 1 1 1 3 1 2 2 2 3 1 1 1 1 1 1 1 1 3 2 2 5 1 1 5 3 1 2 1 1 5 3 2 1 2 3 1 1 1 6 1","48"
"CUQ","0","","","21"
"CUR","23","AMS ATL AUA BAQ BOG BON CCS CLT CNF EWR JBQ JFK LSP MDE MIA ORD PBM POS PTY SDQ SXM YUL YYZ","3 1 3 1 2 3 2 1 1 1 1 1 1 2 1 1 1 1 1 2 2 1 2","24"
"CUU","16","CSW CUL CUN DEN DFW GDL HMO LAP LMM MEX MTY MZT NLU QRO TIJ TRC","1 1 1 1 1 2 1 1 1 4 1 1 2 1 1 1","8"
"CUY","1","PER","1","1"
"CUZ","7","AQP AYP BOG LIM LPB PEM SCL","3 1 1 3 2 2 1","5"
"CVG","60","ATL AUS AZA BDL BNA BOS BWI CDG CHS CLT CUN DCA DEN DFW DTW EWR EYW FLL GSP GUF IAD IAH JAX JFK LAS LAX LGA LHR MCO MDW MIA MLB MSP MSY MYR ORD PBI PDX PGD PHL PHX PIE PNS PUJ PVD PWM RDU RSW SAN SAV SEA SFB SFO SLC SNA SRQ TPA VPS YUL YYZ","2 4 1 1 1 3 1 1 2 2 4 2 4 2 1 3 1 3 1 1 1 3 1 2 3 1 2 1 3 1 2 1 3 1 1 4 2 1 1 2 3 1 1 1 2 1 1 3 1 1 2 1 1 1 1 2 3 1 1 1","15"
"CVM","1","NLU","1","1"
"CVN","2","DEN DFW","1 1","1"
"CVQ","2","MJK PER","1 2","2"
"CVU","2","FLW HOR","1 1","1"
"CWA","2","MSP ORD","1 2","3"
"CWB","21","AEP BSB CAC CGH CNF FLN GGJ GIG GRU IGU LDB LIM LIS MGF POA PTO REC SCL SSA UVI VCP","1 2 1 3 2 1 1 3 3 2 1 1 1 2 2 1 1 2 1 1 1","9"
"CWJ","2","KMG SHA","1 1","1"
"CWL","33","ACE AGP ALC AMS AYT BGI BHD BOJ CFU CMF DBV DLM DUB EFL FAO FUE HER HRG IBZ KGS LCA LPA MAH NBE PFO PMI REU RHO SZG TFS TRN YYZ ZTH","1 3 3 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1","7"
"CXB","6","CGP DAC JSR RJH SPD ZYL","1 4 2 1 1 1","4"
"CXC","1","MXY","1","1"
"CXH","12","CAP5 CAX3 CCX6 LKE WPL YBW YGG YTP YVR YWH YWS ZNA","1 2 1 2 1 2 2 1 1 4 1 4","7"
"CXI","3","HNL NAN TRW","1 1 1","3"
"CXJ","5","CGH FLN GIG GRU VCP","2 1 1 2 1","3"
"CXR","54","ALA BAX BQS BSZ CAN CGQ CJJ CKG CSX DAD DMK HAN HKG HPH HTA ICN IKT KHV KJA KMG KTI KUL KWE KZN LED MSQ MWX NKG NOZ NQZ OVB PEK PQC PUS PVG SGN SHE SIN SVO SVX SZX TAE TAS TFU TOF TPE TSN UBN UFA VCA VII VVO XNN ZHA","1 2 2 1 3 1 1 1 1 2 1 4 1 2 1 12 5 3 3 1 1 1 1 2 1 1 1 2 2 1 3 1 1 5 1 4 1 3 3 3 1 2 3 1 2 1 2 1 2 1 3 3 1 1","36"
"CYA","2","CAP PAP","1 1","1"
"CYAV","13","CJB6 XPP YBV YDV YGO YHP YIV YOH YRS YST YVZ ZGR ZSJ","1 1 2 2 1 2 1 1 1 1 1 2 1","2"
"CYB","3","GCM LYB MIA","3 2 1","3"
"CYC","2","BZE CUK","1 1","1"
"CYF","2","BET KPN","2 1","2"
"CYI","2","KNH MZG","1 1","1"
"CYM","0","","","37"
"CYO","1","YUL","1","1"
"CYP","1","CEB","2","2"
"CYPK","34","CAE7 CAM9 CAN3 CAP5 CPW9 WPL XQU YAV YAZ YBF YBW YCA YCD YGG YHE YHH YKA YLW YLY YMB YPB YPR YPW YSE YTP YVR YWG YWS YXJ YXX YYC YYJ YZT ZNA","1 2 1 4 2 3 1 1 3 1 1 1 3 1 1 1 1 2 1 1 2 1 3 1 3 2 1 1 1 1 1 3 1 3","5"
"CYPT","6","3T7 3W2 3X5 89D KPCW YQG","1 1 1 1 1 1","2"
"CYS","1","DEN","1","1"
"CYSE","0","","","0"
"CYX","1","YKS","1","1"
"CYZ","2","MNL RPLN","2 2","4"
"CZE","0","","","16"
"CZH","1","SPR","1","1"
"CZJ","0","","","14"
"CZL","26","ALG AZR BSL CBH CDG DJG ETZ GHA HME IST JED LIL LYS MED MPL MRS NCE NTE OGX ORN ORY SSH SXB TIN TLS TMR","2 1 2 1 1 1 1 1 2 2 3 1 2 3 1 2 1 1 1 1 2 1 1 1 1 1","8"
"CZM","13","ATL CLT DEN DFW IAH MEX MIA MSP MTY ORD YUL YYC YYZ","1 1 1 1 1 3 1 2 1 2 2 1 2","12"
"CZN","1","TKJ","1","1"
"CZR","1","HTA","1","1"
"CZS","1","RBR","1","1"
"CZU","3","BAQ BOG EOH","1 1 1","2"
"CZX","41","AKA CAN CGQ CKG CSX CTU DLC DLU FOC HAK HKG HRB INC JJN JNZ KMG KOW KWE KWL LHW LJG LUM LXA MFM MIG NNG PEK PKX SHE SWA SZX TAO TFU TYN VTE WEH XIY XMN YBP YNT ZUH","1 3 2 4 1 1 3 1 1 1 1 2 1 2 1 3 1 3 1 1 1 1 1 1 2 1 1 1 4 3 2 1 4 1 1 1 2 1 1 1 1","22"
"DAB","10","ATL BDL BOS CAK CLT HVN ILG JFK PVD RDU","1 1 1 1 2 1 1 1 1 1","6"
"DAC","47","ADD AUH BAH BKK BOM BZL CAI CAN CCU CGP CMB CXB DEL DMK DMM DOH DXB FCO HKG HYD ICN IST JED JSR KHI KMG KTM KUL KWI LHR MAA MAN MCT MED MLE PBH PEK PKX RGN RJH RKT RUH SHJ SIN SPD YYZ ZYL","1 2 1 3 2 1 1 2 3 3 2 3 3 2 2 2 3 1 1 1 1 2 2 2 1 1 2 4 3 1 2 1 3 2 1 1 1 1 2 2 1 2 2 2 2 1 3","37"
"DAD","45","ALA AMD BKK BMV CGK CJJ CXR DLI DMK DPS DVO DXB HAN HKG HND HPH HUI ICN KHH KHV KIX KNO KUL MNL MSQ NOZ NRT OVB PQC PUS PVG RGN SAI SGN SIN TAS TFU THD TPE VCA VDH VDO VII VTE VVO","1 1 3 1 2 2 2 2 1 1 1 1 4 2 1 1 1 8 1 1 1 1 3 5 1 1 1 1 3 4 1 1 1 4 4 1 1 2 4 1 1 1 1 1 1","38"
"DAL","88","ABQ AMA APA ATL AUS BHM BNA BOI BOS BUF BUR BWI BZN CHS CLE CLT CMH COS CSW DCA DEN DSI ECP ELP FAT FLL GEG GUC HDN HOB HOU HRL IND JAX LAS LAX LBB LGA LGB LIT MAF MCI MCO MDW MEM MIA MKE MSP MSY MTJ MYR OAK OKC OMA ONT OPF ORD ORF PDX PHL PHX PIT PNS PSP PVD RDU RNO RSW SAF SAN SAT SAV SCF SDF SEA SFO SJC SLC SMF SNA SRQ STL TPA TSM TUL TUS TYS VPS","1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1","3"
"DAM","22","ADB AMM ATH AUH AYT BEN BGW COV DMM DOH DXB EBL ESB IST JED KWI MCT MJI OTP RUH SAW SHJ","1 1 1 4 1 1 1 1 2 2 3 1 1 2 3 3 2 3 1 3 1 3","17"
"DAR","48","ACC ADD AMS ARK BJM BKZ BLZ BOM CAI CAN CPT DOD DOH DXB DZA EBB FBM FIH HAH HRE HTGW IRI IST JNB JRO KBH KGL LLW LOS LUN MBA MCT MFA MPM MWZ MYW NBO NLA NPY PMA POL SEZ SGX TBO TGT TKQ VFA ZNZ","1 1 1 3 1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 2 1 2 1 3 2 1 1 1 1 2 1 1 2 1 4 2 4 1 1 3 1 1 1 1 2 1 1 5","24"
"DAT","14","CAN CGO CGQ DMK HFE HKG HRB KMG NKG PVG SHA SZX TFU WUH","1 1 1 1 1 1 1 1 1 1 1 1 1 1","6"
"DAU","7","AWB HID OPU POM SKC TDS UNG","1 1 1 2 1 1 1","3"
"DAV","2","PAC PTY","1 1","2"
"DAY","12","ATL CLT DCA DEN DFW IAD MYR ORD PGD PHL PIE SFB","2 1 1 2 1 1 1 3 1 1 1 1","6"
"DBB","14","ALA AUH AYT BAH BEG BQT BTS CTA DXB JED MSQ MXP PRG RUH","1 1 1 1 1 1 2 1 1 2 1 1 1 2","10"
"DBC","3","PKX PVG SJW","1 1 1","1"
"DBM","1","ADD","1","1"
"DBO","6","BHQ BNE BRK MEL SYD WGE","1 1 1 1 2 1","4"
"DBR","5","BLR BOM CCU DEL HYD","1 3 1 3 1","3"
"DBV","75","AMS ARN ATH BCN BEG BER BFS BGO BGY BHX BLL BOD BRI BRS BRU BSL BUD BVA CDG CGN CLJ CPH CRL CWL DUB DUS DXB EDI EMA EWR FCO FKB FMM FRA GDN GLA GOT GVA HAM HEL IST KRK KTW LBA LGW LHR LIL LUX LYS MAD MAN MRS MUC NAP NCL NRN NTE ORY OSI OSL OTP POZ PRG RTM SKG STN STR SVG TLV TRF VIE WAW WRO ZAG ZRH","2 3 3 1 1 3 1 1 1 2 1 2 1 2 3 1 2 1 3 1 1 3 1 1 2 2 1 2 2 1 2 1 1 3 2 2 1 1 1 3 1 1 2 2 4 1 1 1 2 1 4 2 2 1 2 1 2 2 1 2 1 2 1 1 1 2 1 1 1 1 2 2 1 1 2","34"
"DCA","106","ACK AGS ALB ATL AUS AVL BDL BGR BHM BNA BOS BTR BTV BUF CAE CAK CHA CHS CID CLE CLT CMH CRW CVG DAL DAY DEN DFW DSM DTW ECP EWR EYW FLL GRR GSO GSP HHH HOU HPN HSV HYA IAH ICT ILM IND JAN JAX JFK LAN LAS LAX LEX LGA LIT MCI MCO MDW MEM MGM MHT MIA MKE MSN MSP MSY MVY MYR NAS OKC OMA ORD ORF PBI PDX PHL PHX PIT PNS PVD PWM RDU ROC RSW SAN SAT SAV SDF SEA SFO SJU SLC SRQ STL SYR TLH TPA TUL TVC TYS VPS XNA YHZ YOW YUL YYZ","2 1 2 4 2 1 2 2 1 4 4 1 2 1 1 1 1 2 1 1 2 2 1 2 1 1 4 1 1 2 1 1 1 3 1 1 1 1 1 1 1 1 2 1 1 2 1 2 3 1 4 6 1 3 1 3 4 1 2 1 1 2 2 2 2 3 2 1 2 2 2 3 1 2 2 1 2 2 1 3 2 3 1 2 2 2 1 1 4 4 1 2 1 3 2 1 2 1 1 1 2 1 1 1 1 2","17"
"DCF","18","ANU AXA BGI BQU EIS FDF GND MNI POS PTP SBH SFG SJU SKB SLU STX SVD SXM","6 2 2 1 1 2 1 1 1 3 3 1 1 2 3 1 2 3","13"
"DCM","1","ORY","1","1"
"DCT","1","NAS","1","1"
"DCY","1","TFU","2","2"
"DDC","1","DEN","1","1"
"DDD","2","BLR MLE","1 1","1"
"DDG","7","CAN PEK PVG SHA SZX TFU YTY","1 1 1 1 1 1 1","4"
"DDR","2","CTU LXA","2 1","2"
"DEB","10","BCN CHQ EIN HER LCA LTN MUC TIA TLV VAR","1 1 1 1 1 1 1 1 2 1","4"
"DEC","1","ORD","1","1"
"DED","14","AMD ATQ BLR BOM CCU DEL HYD JAI KUU LKO PGH PNQ SXR VNS","3 1 3 4 1 4 1 1 1 1 1 1 1 1","5"
"DEE","1","UUS","1","1"
"DEF","2","MHD THR","1 4","4"
"DEL","152","ADD AHA ALA AMD AMM AMS ASB ATH ATQ AUH AYJ BAH BBI BDQ BGW BHJ BHO BHX BKB BKK BLR BOM BSR BSZ BUP CAI CAN CCU CDG CJB CMB CNN COK CPH DAC DBR DED DGH DHM DIB DMK DMM DMU DOH DPS DXB DYU EWR FCO FRA GAU GAY GOI GOP GOX GWL GYD HAN HBX HEL HGI HJR HKG HKT HND HSR HSS HWR HYD ICN IDR IKA IMF ISK IST IXB IXC IXD IXE IXG IXJ IXL IXR IXU IXZ JAI JDH JED JFK JLR JRG JSA KBL KBV KNU KTM KUL KUU KWI LHR LKO MAA MAN MCT MEL MLE MNL MRU MSQ MUC MXP NAG NMA NMI NRT ORD PAB PAT PBH PEK PGH PNH PNQ PVG RDP RGN RPR RUH SFO SGN SHJ SHL SIN SLV STV SVO SXR SYD TAS TLV TRV TRZ UDR VGA VIE VNS VTZ WAW YUL YVR YYZ ZRH","1 1 1 3 1 2 1 1 3 2 3 1 3 1 1 1 2 1 1 3 5 5 1 2 1 1 1 3 2 2 3 1 1 1 3 3 3 1 3 1 2 2 1 3 2 4 1 2 2 2 4 2 3 4 4 1 2 4 1 1 1 1 3 2 3 2 1 1 2 2 2 1 1 1 2 3 2 2 1 1 2 2 1 2 2 3 1 3 2 1 1 2 2 1 1 4 4 1 4 4 2 2 1 3 2 1 1 1 1 1 1 1 1 3 1 1 1 3 1 1 1 1 4 2 1 2 1 4 1 3 2 1 3 1 1 1 4 1 2 1 1 1 2 2 1 3 1 1 1 1 2 2","72"
"DEM","2","ADD JIM","1 1","1"
"DEN","235","ABE ABI ABQ ACV AIA ALB ALS AMA ANC ASE ATL ATW ATY AUS AVL BDL BFF BFL BHM BIH BIL BIS BNA BOI BOS BTM BTV BUF BUR BWI BZE BZN CDG CDR CEZ CHA CHS CID CLD CLE CLT CMH CNM CNY COD COS COU CPR CRP CUN CUU CVG CVN CYS CZM DAL DAY DCA DDC DFW DIK DRO DSM DTW DUB DVL EAR ECP EGE ELP EUG EWR FAI FAR FAT FCA FCO FLL FMN FRA FSD GCC GCM GDL GEG GJT GRR GSP GTF GUC HDN HLN HNL HOB HOU HRL HSV HYS IAD IAH ICT IDA ILM IND IST JAC JAX JFK JLN JMS KEF KOA LAR LAS LAX LBB LBF LBL LEX LGA LGB LHR LIH LIR LIT LNK MAF MBJ MCI MCK MCO MDW MEM MEX MFR MIA MKE MLI MOT MRY MSN MSO MSP MSY MTJ MTY MUC MYR NAS NRT OAK OGG OKC OMA ONT ORD ORF OTH PBI PDX PGA PHL PHX PIA PIR PIT PNS PRC PSC PSP PTY PUB PUJ PVD PVR PWM QRO RAP RDD RDM RDU RIC RIW RKS RNO ROW RSW RTB RUI SAF SAN SAT SAV SBA SBP SDF SEA SFO SGF SGU SHR SHV SJC SJD SJO SJU SLC SLN SMF SNA SRQ STL STS SUN SUX SYR TEX TPA TSM TUL TUS TVC TYS VEL VPS WYS XNA XWA YEG YQR YUL YVR YWG YYC YYZ","1 1 3 1 1 2 1 1 3 1 4 3 1 4 2 2 1 1 2 1 2 1 3 4 4 1 1 3 3 3 2 3 1 1 1 1 2 2 1 3 4 3 1 1 1 3 1 1 1 3 1 4 1 1 1 1 2 2 1 4 1 2 4 4 1 1 1 3 2 4 3 1 1 3 3 2 1 2 1 2 3 1 1 2 4 2 2 3 2 1 3 1 1 1 2 1 1 1 2 2 3 1 1 3 1 2 3 2 1 1 1 1 1 3 5 2 1 1 1 4 1 2 1 2 4 1 2 1 4 1 3 2 3 3 2 4 4 1 1 1 2 3 6 3 3 2 2 2 1 1 1 1 4 4 3 4 2 1 1 4 1 4 5 2 1 3 3 1 2 4 1 1 1 2 3 1 1 2 1 1 3 3 1 1 3 1 3 1 1 1 4 3 2 3 2 2 5 3 1 1 1 1 2 3 2 1 5 1 3 3 2 3 1 1 1 1 1 3 1 4 4 2 5 1 1 1 3 1 1 1 1 2 1 2 2","29"
"DEX","2","DJJ WMX","2 1","2"
"DFW","270","ABI ABQ ACA ACT AEX AGS AGU AKL ALB ALS AMA AMM AMS ANC ASE ATH ATL ATW AUA AUS AVL BCN BDL BFL BHM BIL BIS BJX BMI BNA BNE BOG BOI BOS BPT BRO BTR BUF BUR BWI BZE BZN CAE CDG CGI CHA CHS CID CLE CLL CLT CMH CMI COS COU CRP CUN CUU CVG CVN CZM DAY DCA DEN DGO DOH DRO DSM DTW DUB DXB ECP EGE ELP EVV EWR EYW EZE FAR FAT FCA FCO FLG FLL FRA FSD FSM FWA GCK GCM GDL GEG GGG GIG GJT GLH GNV GPT GRI GRK GRR GRU GSO GSP GTR GUA GUC HDN HEL HKG HND HNL HOT HOU HRL HRO HSV HUX HVN IAD IAH ICN ICT IDA ILM IND IST JAC JAN JAX JFK KOA LAS LAW LAX LBB LCH LEX LFT LGA LHR LIR LIT LRD LTO MAD MAF MBJ MCI MCO MDT MDW MEL MEM MEX MFE MGM MHK MIA MID MKE MLI MLM MLU MOB MRY MSN MSO MSP MSY MTJ MTY MYR MZT NAN NAS NRT OAX OGG OKC OMA ONT ORD ORF PBI PDX PHL PHX PIA PIT PLS PNS PSP PUJ PVG PVR PVU PWM PXM QRO RAP RDU RIC RNO ROA ROW RSW RTB SAF SAL SAN SAT SAV SBA SBN SBP SCL SDF SEA SFO SGF SGU SHV SJC SJD SJO SJT SJU SLC SLP SMF SNA SPS SRQ STL STS STT SWO SYD SYR TAM TBN TLH TPA TPE TQO TRC TRI TUL TUP TUS TVC TXK TYR TYS VCE VER VPS XNA XPL YQB YUL YUM YVR YYC YYZ ZCL ZIH ZLO ZRH","1 2 1 1 1 1 1 1 1 1 2 1 1 1 1 1 4 1 1 2 2 1 1 1 2 1 1 2 1 3 1 2 1 2 1 1 1 1 1 2 1 2 2 2 1 1 2 2 2 1 2 2 1 2 1 1 3 1 3 1 1 1 1 3 1 1 2 2 3 1 1 2 1 2 1 3 1 1 1 1 1 1 2 3 2 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 2 1 2 2 1 1 1 2 1 1 1 1 1 2 1 1 3 4 2 2 1 2 2 1 1 1 1 2 1 3 1 3 2 1 2 1 3 2 1 2 1 1 2 1 1 2 2 1 1 1 2 4 2 1 1 2 1 1 1 2 1 1 2 1 2 4 3 2 3 2 1 1 1 1 1 1 2 2 2 4 1 1 2 2 2 1 1 1 2 1 2 1 2 2 1 1 3 1 2 1 1 1 1 2 1 1 3 3 2 2 1 1 1 1 2 3 3 1 1 1 1 1 1 1 1 3 2 1 2 1 1 2 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 2 1 1 1 1 1 1 2 2 1 1 3 1 1 1 3 1 1 1 1","36"
"DGA","5","BGK BZE INB PLJ TZA","1 2 1 2 2","2"
"DGH","6","BLR BOM CCU DEL IXR PAT","1 1 1 1 1 1","1"
"DGO","8","DFW GDL MDW MEX MTY NLU QRO TIJ","1 1 1 1 1 1 1 1","4"
"DGT","4","CEB DPL IQR MNL","2 1 1 2","4"
"DHB","2","KEH LKE","1 1","1"
"DHH","6","CGO CSX KHG LHW TFU XIY","1 1 1 1 1 1","1"
"DHI","5","BJH BJU KTM PKR SIH","1 1 3 1 1","4"
"DHM","4","DEL IXC JAI SLV","3 1 2 1","3"
"DHN","1","ATL","1","1"
"DHX","2","CGK JED","1 1","2"
"DIB","7","BLR CCU DEL GAU HYD IXA IXB","2 1 2 2 1 1 2","3"
"DIE","5","DZA NOS RUN SVB TNR","1 1 1 1 1","3"
"DIG","7","CAN CKG KMG LXA PKX SHA TFU","1 1 2 1 1 1 2","4"
"DIK","1","DEN","1","1"
"DIL","10","BCH DPS DRW FOC KUL OEC SIN UAI VIQ XMN","1 2 3 1 2 2 1 1 1 1","7"
"DIN","1","HAN","1","1"
"DIQ","1","CNF","1","1"
"DIR","3","ADD GDE JIB","1 1 1","1"
"DIU","6","AMD BOM GOX IXK NMI STV","2 1 1 1 1 1","3"
"DIY","15","ADB AYT BER CGN DUS ECN ESB FRA HAJ IST SAW SKP STR TZX YEI","2 1 1 1 1 2 2 1 2 1 2 1 1 1 1","6"
"DJB","4","BTH CGK KNO YIA","2 5 1 1","5"
"DJE","34","AMS BEG BER BOD BRN BRQ BRU BSL BTS CDG FRA GVA HAJ LEJ LIL LJU LTN LUX LYS MAN MPL MRS MUC NCE NTE ORY PRG SJJ SOF STR TLS TUN VIE ZRH","1 1 1 1 1 1 3 2 1 1 2 1 1 1 1 1 1 1 3 1 1 3 1 2 2 2 1 1 1 2 1 1 1 1","15"
"DJG","5","ALG CDG OGX TMR VVZ","1 1 1 1 1","1"
"DJJ","15","BIK BUI CGK DEX MDC MKQ MKW NBX OKL SOQ TIM TMH UPG WMX ZRI","2 1 4 1 1 2 1 2 1 2 3 1 4 3 1","8"
"DKA","2","ABV LOS","3 2","3"
"DKS","2","KJA NSK","1 1","1"
"DLA","21","ABJ ADD ALG BFX BGF BSG BZV CAI CMN COO FIH JED KGL LBV LFW MED NBO NGE NSI PNR SSG","1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2","12"
"DLC","116","AKA BFY BHY BKK CAN CGO CHG CIH CJJ CJU CKG CNI CSX CTS CTU CXR CZX DOY DQA DYG ENY FOC FUG FUK HAK HDG HET HFE HGH HIA HIJ HKG HLD HND HNY HRB HSF HSN HZA ICN INC JGD JJN JMU JSJ JUZ JXA KHN KHV KIX KKJ KMG KOW KWE KWL LDS LFQ LHW LJG LYA LYG LYI LZH MDG MXZ NBS NDG NGB NGO NKG NNG NNY NRT NTG NZH PEK PKX PVG RIZ SDJ SHF SJW SQD SWA SYX SZX TAO TFU TNA TNH TSN TVS TYN UBN URC UYN VVO WDS WEF WEH WHA WMT WNZ WUH WUX XFN XIY XMN XUZ YCU YIC YNT YNZ YSQ YTY ZUH","1 1 1 1 4 8 1 2 1 1 6 1 6 1 2 1 3 1 1 1 1 4 1 2 5 1 2 3 5 1 1 1 1 1 1 1 1 1 1 3 2 1 2 1 1 1 1 4 2 4 1 8 1 6 1 1 1 4 1 2 3 1 1 3 1 1 1 5 2 7 3 1 4 2 1 3 3 8 2 1 1 4 1 2 2 5 4 8 3 1 8 2 4 1 1 2 2 1 1 1 2 1 1 6 1 1 5 4 2 1 1 2 2 1 2 2","40"
"DLE","5","AJA BIA FEZ OPO RAK","1 1 1 1 1","2"
"DLG","14","AKN ANC BET CLP EMK IGG KEK KGK KLL KMO KNW TOG TWA WSN","1 1 1 1 1 1 1 1 1 1 1 1 1 1","2"
"DLH","2","MSP ORD","1 1","2"
"DLI","8","DAD HAN HPH KUL SGN THD VCA VII","3 4 2 1 3 2 3 3","5"
"DLM","61","ABZ AER AMM AMS BEG BER BEY BFS BHX BOH BRS BRU BTS BUD CGN COV CPH CWL DUB DUS EDI EMA ESB EXT FRA GDN GLA GRQ GYD HAJ HAM HEL IST KTW LBA LED LGW LHR LPL LTN MAN MSQ MUC NCL NUE NWI POZ PRG SAW SCW SEN SOF STN STR SVO VIE VKO VNO WAW WRO ZRH","1 2 1 3 1 1 2 3 4 2 3 2 2 1 2 1 1 1 2 2 3 2 2 1 2 2 4 1 1 1 1 1 1 2 1 1 5 1 2 2 4 1 2 4 1 1 1 1 2 1 1 1 2 2 2 3 1 1 3 1 2","34"
"DLU","30","CAN CGO CKG CSX CTU CZX FOC HAN HGH JHG KHN KMG KWE LZO MIG NKG PEK PKX PVG SHA SJW SZX TFU TSN TYN WUH XIY XUZ YBP YNZ","2 1 4 2 1 1 1 1 2 1 1 1 1 1 1 2 1 1 1 1 1 1 5 1 1 2 2 1 1 1","8"
"DLZ","1","UBN","1","1"
"DMB","7","ALA GUW KOS NQZ OVB PQC SSH","1 1 1 1 1 1 1","1"
"DMD","5","BUC CNS ISA NTN ONG","1 1 1 1 1","1"
"DME","74","ABA ADD AER AMM ASB AUH AYT BAX BHK BQS BSZ BTK CAI CEE DWC DXB DYU EVN FEG GDZ GNJ GRV GYD HRG HTA IJK IKT IST KEJ KGD KJA KRO KRR KSQ KVK KWI KYZ KZN LBD LED MCX MRV MSQ NER NMA NOJ NOZ NSK NUX NYM OGZ OMS OSS OVB PES PEZ RGK RKT SHJ SKD SLY SSH SVX TAS TJU TLV TOF UFA UGC UKK UUD UWWW VOG YKS","1 1 3 1 2 1 2 2 1 2 3 1 1 1 2 1 2 2 2 1 1 1 2 1 2 1 3 2 1 2 1 1 2 1 1 2 2 1 1 1 3 3 1 1 3 2 1 2 2 1 2 2 2 1 1 1 1 1 1 2 1 1 1 2 1 1 1 2 2 1 1 3 1 1","25"
"DMK","97","ALA AMD ATQ BFV BLR BOM BWA CAN CCU CEB CEI CGK CJM CKG CMB CNX COK CSX CTS CXR DAD DAT DEL DPS DVO DXB DYG FUK GAU HAN HDY HFE HGH HKG HKT HPH HYD ICN ILO JAI JHB KBV KHH KHN KIX KKC KMG KOP KTI KTM KUL LKO LOE LPQ LPT MAA MAQ MFM MLE MNL NAW NGO NKG NNT NRT NST OKA PEN PHS PKX PQC PVG RGN ROI RUH SAI SDJ SGN SIN SNO SUB SZB SZX TFU TPE TSN TST TXN UBP UNN URT USM UTH VTE WUH XIY XMN","1 2 1 1 2 1 1 1 2 2 3 3 2 2 1 3 2 2 2 1 1 1 2 2 1 1 1 1 1 1 3 1 2 2 3 1 1 1 1 1 2 3 2 1 2 2 1 2 1 1 2 1 1 1 1 2 1 2 1 1 1 2 1 2 3 3 2 2 3 2 1 3 2 1 1 1 1 2 2 2 1 1 2 1 2 1 3 1 3 1 3 1 3 1 1 3 1","14"
"DMM","38","ADD AMM ATZ AUH BAH BLR BOM CAI CNN DAM DEL DOH DXB FRA GYD HBE ISB JED KHI KTM KWI LHE LKO MAA MCT MHD MNL PKX RSI RUH SAW SHJ SLL TRZ TUU TZX VGA YNB","1 1 1 1 1 1 2 3 1 1 1 1 2 1 2 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1","27"
"DMU","1","GAU","1","2"
"DNAN","2","ABV LOS","2 2","2"
"DNBK","2","ABV LOS","1 2","2"
"DNBY","2","ABV LOS","2 1","2"
"DND","3","KOI LHR LSI","1 1 1","1"
"DNH","23","CKG HFE HGH HKG HMI HTT IQN JGN JIC KMG KUL LHW LNL NKG PEK PKX SHA TFU URC WUH XIY XNN YZY","2 1 1 1 1 1 1 1 1 1 1 5 1 1 1 1 1 1 1 1 1 2 1","8"
"DNK","3","KBP SSH TLV","2 1 1","2"
"DNP","1","KTM","1","1"
"DNZ","2","IST SAW","1 2","3"
"DOB","3","AMQ FKQ LUV","1 1 1","2"
"DOD","2","DAR IRI","2 1","2"
"DOG","2","KRT PZU","1 1","2"
