"iata","icao","latitude","longitude","name","wikipedia_url","outdegree","outdegree_cargo","number_airlines","number_airlines_cargo"
"ADD","HAAB","8.977778","38.799444","","https://en.wikipedia.org/wiki/Addis_Ababa_Bole_International_Airport","148","45","14","4"
"ADE","OYAA","12.829444","45.028889","","https://en.wikipedia.org/wiki/Aden_International_Airport","14","0","3","0"
"ADF","LTCP","37.731667","38.468889","","https://en.wikipedia.org/wiki/Adıyaman_Airport","3","0","3","0"
"ADJ","OJAM","31.972500","35.991389","","https://en.wikipedia.org/wiki/Amman_Civil_Airport","9","0","5","0"
"ADK","PADK","51.878056","-176.646111","","https://en.wikipedia.org/wiki/Adak_Airport","1","0","1","0"
"ADL","YPAD","-34.945000","138.530556","","https://en.wikipedia.org/wiki/Adelaide_Airport","41","5","19","2"
"ADQ","PADQ","57.749722","-152.493889","","https://en.wikipedia.org/wiki/Kodiak_Airport","7","0","2","0"
"ADU","OITL","38.325556","48.424167","","https://en.wikipedia.org/wiki/Ardabil_Airport","5","0","6","0"
"ADZ","SKSP","12.583333","-81.711111","","https://en.wikipedia.org/wiki/Gustavo_Rojas_Pinilla_International_Airport","9","0","7","0"
"AEA","NGTB","0.490833","173.828611","","https://en.wikipedia.org/wiki/Abemama_Airport","1","0","1","0"
"AEB","ZGBS","23.719444","106.959167","","https://en.wikipedia.org/wiki/Baise_Bama_Airport","0","0","0","0"
"","LEAG","36.128889","-5.441111","","https://en.wikipedia.org/wiki/Algeciras_Heliport","1","0","1","0"
"AEP","SABE","-34.558889","-58.416389","","https://en.wikipedia.org/wiki/Aeroparque_Jorge_Newbery","20","0","6","0"
"AER","URSS","43.450000","39.956667","","https://en.wikipedia.org/wiki/Adler-Sochi_International_Airport","89","0","32","0"
"AES","ENAL","62.562500","6.119722","","https://en.wikipedia.org/wiki/Ålesund_Airport,_Vigra","9","0","5","0"
"AET","PFAL","66.551944","-152.622222","","https://en.wikipedia.org/wiki/Allakaket_Airport","3","0","1","0"
"AEU","OIBA","25.875556","55.032778","","https://en.wikipedia.org/wiki/Abu_Musa_Airport","1","0","3","0"
"AEX","KAEX","31.327500","-92.548611","","https://en.wikipedia.org/wiki/Alexandria_International_Airport_(Louisiana)","3","0","3","0"
"AEY","BIAR","65.661111","-18.072222","","https://en.wikipedia.org/wiki/Akureyri_Airport","9","0","5","0"
"AFA","SAMR","-34.588056","-68.402778","","https://en.wikipedia.org/wiki/San_Rafael_Airport_(Argentina)","1","0","1","0"
"AFE","PAFE","56.961389","-133.910278","","https://en.wikipedia.org/wiki/Kake_Airport","0","0","0","0"
"AFL","SBAT","-9.866389","-56.105000","","https://en.wikipedia.org/wiki/Alta_Floresta_Airport","2","0","1","0"
"AFZ","OIMS","36.168083","57.595183","","https://en.wikipedia.org/wiki/Sabzevar_Airport","1","0","2","0"
"AGA","GMAD","30.325000","-9.413056","","https://en.wikipedia.org/wiki/Agadir–Al_Massira_Airport","75","0","29","0"
"AGD","","-1.383333","133.866667","","https://en.wikipedia.org/wiki/Anggi_Airport","1","0","1","0"
"AGE","EDWG","53.783333","7.916667","","https://en.wikipedia.org/wiki/Wangerooge_Airfield","1","0","1","0"
"AGH","ESTA","56.296111","12.847222","","https://en.wikipedia.org/wiki/Ängelholm–Helsingborg_Airport","2","0","1","0"
"AGM","BGAM","65.612222","-37.618333","","https://en.wikipedia.org/wiki/Tasiilaq_Heliport","5","0","2","0"
"AGN","PAGN","57.503611","-134.585000","","https://en.wikipedia.org/wiki/Angoon_Seaplane_Base","1","0","1","0"
"AGP","LEMG","36.675000","-4.499167","","https://en.wikipedia.org/wiki/Málaga_Airport","167","0","48","0"
"AGR","VIAG","27.161831","77.970726","","https://en.wikipedia.org/wiki/Agra_Airport","3","0","1","0"
"AGS","KAGS","33.370000","-81.964444","","https://en.wikipedia.org/wiki/Augusta_Regional_Airport","4","0","3","0"
