"origin","nb_outlinks","outlinks"
"AGM","5","BGTN IOQ KUS KUZ SGG"
"AGN","1","JNU"
"AGP","126","AAL AAR ABZ ACE AMS ANR ARN ATH AUH BAH BCN BEG BER BFS BGO BHX BIO BLL BOD BRQ BRS BRU BSL BTS BUD BVA CDG CGN CLJ CMN CPH CWL DOH DUB DUS EDI EMA EWR EXT FCO FMM FRA FUE GCI GDN GLA GOT GVA HAJ HAM HAU HEL IST JED KEF KRK KSC KTW KUN KWI LBA LBC LCJ LCY LGW LIL LIS LPL LTN LUX LYS MAD MAH MAN MLA MME MST MUC MXP NCE NCL NTE NUE NYO OPO ORK ORY OSL OST OTP OVD PAD PIK PMI POZ PRG PRO PSA RAK RIX RMO RUH SDR SEN SOF STN STR SVG TLL TLV TMP TNG TRD TRF TRN TSF TTU VCE VIE VIT VXO WAW WMI WRO YUL ZRH"
"AGR","3","BLR HYD NMI"
"AGS","4","ATL CLT DCA DFW"
"AGT","0",""
"AGU","12","CUN DFW IAH LAP LAX MDW MEX MTY MZT NLU PBC PVR"
"AGV","2","CCS PMV"
"AGX","4","BLR CCJ COK GOX"
"AHA","4","CCU DEL PAB RPR"
"AHB","24","ABT ADD ATZ BHH CAI DMM DOH DWC DXB ELQ GIZ HMB IST JED KWI MCT MED RUH SHJ SHW SPX TIF TUU WAE"
"AHE","3","AXR PPT XMH"
"AHI","2","FKQ NDA"
"AHJ","4","CTU LXA TFU WNZ"
"AHO","22","AMS BCN BEG BGY BLQ BOD BUD FCO FLR KTW LIN ORY OTP SIR SKP SOF STN TIA TRN VCE VRN WMI"
"AHU","7","AMS BRU CMN MST RTM TNG TTU"
"AIA","1","DEN"
"AIC","2","KWA MAJ"
"AIM","2","MAJ MJB"
"AIN","2","ATK BRW"
"AIP","4","BLR BOM HDO NDC"
"AIR","2","CGB JIA"
"AIT","2","AIU RAR"
"AIU","2","AIT RAR"
"AJA","27","BES BOD BSL BVE CDG CFE CFR CRL DCM DLE FCO GVA LIL LUX LYS MPL MRS MUC NCE NTE ORY OSL PIS RDZ RNS SXB TLS"
"AJF","8","ATZ CAI DXB HMB JED KWI RUH SHJ"
"AJI","4","ADB ESB IST SAW"
"AJK","1","PGU"
"AJL","8","CCU DEL DMU GAU IMF IXA IXS SHL"
"AJR","6","ARN HAJ HMV LYC MUC VHM"
"AJU","8","BSB CGH CNF GIG GRU REC SSA VCP"
"AKA","12","CAN CSX CZX HGH JJN LHW PKX PVG SZX URC WUH XMN"
"AKB","1","DUT"
"AKF","2","BEN MJI"
"AKI","4","BET KKI KWT TLT"
"AKJ","3","HND NRT TPE"
"AKK","2","ADQ OLH"
"AKL","54","ADL APW BKK BNE CAN CHC CHT CKG DFW DOH DUD DXB EZE GBZ HAK HBA HGH HIR HKG HNL ICN IUE IVC KAT KKE KUL LAX MCY MEL NAN NOU OOL PEK PER POM PPQ PPT PVG RAR SCL SFO SIN SYD TBU TFU TPE TUO VLI WAG WHK WLG WTZ YVR ZQN"
"AKN","14","ANC CLP DLG EGX IGG KCG KCL KCQ KLL KPV PIP PTH UGB WSN"
"AKP","1","FAI"
"AKR","2","ABV LOS"
"AKS","2","ATD HIR"
"AKU","27","AAT ACF CAN CGO CKG CSX CTU FOC HGH HMI HTN INC JBK KHG KRL KRY LHW PEK PVG QSZ TAO TFU TWC URC WNZ WUH XIY"
"AKV","7","YGW YIK YPH YPX YUD YUL YZG"
"AKW","3","IFN SYZ THR"
"AKX","8","ALA AYT CIT HSA NQZ SAW SCO SSH"
"AKY","4","BSX KYP NYT RGN"
"ALA","83","AER AKX AUH AYT BKK BOM BSZ BUS CAN CIT CXR DAD DBB DEL DMB DMK DOH DXB DYU DZN ESB EVN FRA GOI GOX GUW GYD GZP HAN HGH HKT HSA ICN IKA IKU IST JED KGF KOV KSN KUL KUT KWI KZO LCA LED LHR MCT MED MLE MSQ MXP NCU NQZ OSS OVB PEK PKX PLX PPK PQC PRG PUS PVG SAW SCO SHJ SKD SLL SSH SVO SYX TAS TBS UBN UKK URA URC UTP UZR WAW XIY YIN"
