"origin","nb_outlinks","outlinks"
"ESC","2","DTW MSP"
"ESD","5","BFI BLI FRD OTS YVR"
"ESE","2","GUB MMCD"
"ESL","4","AER AYT SVO SVX"
"ESU","11","BCN BOD BVA CRL LYS MRS NTE ORY RBA STN SVQ"
"ETM","3","CDG HFA TLV"
"ETZ","6","ALG BES CMN CZL HER ORN"
"EUA","1","TBU"
"EUG","15","AZA BUR DEN LAS LAX ORD PDX PHX SAN SEA SFO SJC SLC SMF SNA"
"EUN","6","AGA CMN LPA RAK RBA VIL"
"EUX","10","AUA AXA BON CUR DCF NEV SAB SKB STX SXM"
"EVE","17","AMS ANX BGO BGY BOO BRU CPH FRA MUC MXP OLA OSL PMI TOS TRD VIE ZRH"
"EVN","75","AER ALA ALC ALP AMS ATH AUH BCN BER BEY BGW BGY BRI BRU BVA CAI CDG CEK CGN CRL DME DOH DTM DUS DXB EIN FCO FMM FRA GOJ GSV HAM HRG IKA IST KGD KRR KWI KZN LCA LED LTN LYS MLE MRS MRV MSQ MXP NAP NCE NQZ ORY OTP OVB PEE PFO RIX SAW SCO SGC SHJ SSH SVO SVX TBS TJM UFA URC VCE VIE VKO VOG WAW YUK ZIA"
"EVV","8","ATL CLT DFW MCO ORD PIE SFB VPS"
"EWB","3","ACK BOS MVY"
"EWE","2","MKQ TIM"
"EWI","2","NBX TIM"
"EWN","2","BDL CLT"
"EWR","176","ACK ADD AGP AMS ANC ANU ARN ATH ATL ATW AUA AUS AVL AXA BCN BDA BER BGI BGR BIO BNA BOG BOM BON BOS BQN BRI BRU BTV BUF BZE BZN CAE CAI CAP CDG CHA CHS CLE CLT CPH CPT CRW CUN CUR CVG DCA DEL DEN DFW DOM DSM DTW DUB DXB EDI EGE EYW FAO FCO FLL FRA GCM GDL GLA GOH GRR GRU GUA GVA HDN HHH HND HNL IAD IAH ICN ILM IND IST JAC JAX JNB KEF KRK LAS LAX LHR LIM LIR LIS MAD MBJ MCI MCO MDW MEX MIA MKE MSP MSY MTJ MUC MXP MYR NAP NAS NCE NRT OPO ORD ORF ORY OSL PBC PBI PDL PDX PHX PIT PLS PMO POP POS PTY PUJ PVR PWM RAK RDU RIC ROC RSW RZE SAL SAN SAP SAT SAV SCQ SDQ SEA SFO SIN SJD SJO SJU SKB SLC SMF SNA SRQ STI STL STT SXM SYR TLV TPA TQO TVC TYS UVF VCE VIE VPS WAW YHZ YOW YQB YTZ YUL YVR YYC YYZ ZRH"
"EXI","1","JNU"
"EXT","23","ACE AGP ALC AMS BHD CFU DLM DUB EDI GCI HER IBZ ISC LPA MAH MAN NCL PFO PMI PRO RHO TFS ZTH"
"EYK","7","HMA NYA OVS SGC SVX TJM ZIA"
"EYP","4","BGA BOG RON VVC"
"EYW","22","ATL AVL BOS CLT CVG DFW EWR FLL HVN IAD IND LCK LGA MCO ORD PHL PIE PIT RDU SFB TPA TYS"
"EZE","56","ADD AKL AMS ATL AUA BOG BPS BRC BSB CBB CDG CNF CRD CUN DFW DXB ENO FCO FLN FOR FRA FTE GIG GRU GYE IAH IGR IST JFK JPA JUJ LHR LIM MAD MCZ MDE MDZ MEX MIA NAT PTY PUJ PVG REC RGL SCL SDQ SJO SLA SSA TUC UIO USH VVI YYZ ZRH"
"EZS","10","ADB AYT CGN DUS ESB FRA HAJ IST SAW STR"
"FAE","7","BGO BLL CDG CPH KEF LGW PMI"
"FAI","34","AET AKP ANC ARC BTI BTT CEM CIK DEN EAA FYU GAL HKB HSL HUS IRC KAL KBC KYU LMA MLY MNT NUL ORD PDX RBY RMP SCC SEA SVS TAL VEE WBQ YDA"
"FAO","61","AMS ARN BER BES BFS BHX BIO BOH BRS BRU BVA CDG CGN CPH CWL DUB DUS EIN EMA EWR FCO FKB FNC FRA GCI GVA HAJ HAM HEL IOM KEF KTW LBA LCY LGW LHR LIL LIS LPL LTN LYS MAD MME MUC NCE NCL NRN NTE ORK OSL OTP PDL RIX SNN SOU STR SXB TLS WAW YYZ ZRH"
"FAR","11","ATL AZA BNA DEN DFW LAS MSP ORD PHX PIE SFB"
"FAT","15","BJX DAL DEN DFW GDL LAS LAX MLM ORD PDX PHX SAN SEA SFO SLC"
"FAV","3","KHZ PPT RGI"
"FAY","6","ATL CLT DFW IAD RDU SFB"
"FBM","13","ADD AUH DAR FIH FMI JNB KGA KGL KMN LUN MJM NBO NLA"
"FCA","3","AUS LGA PHX"
"FCO","198","ADB ADD AGP AHO AJA ALC ALG AMM AMS ARN ATH ATL AUH BAH BCM BCN BDS BEG BEN BER BES BEY BGO BHX BIA BIO BKK BLL BOD BOS BRQ BRS BRU BSL BTS BUD BVC CAG CAI CDG CGN CHQ CKG CLJ CLT CMN CND CPH CRV CTA DAC DBV DEL DEN DFW DOH DSS DTW DUB DUS DXB EDI EFL EIN EVN EWR EZE FDF FLR FRA FUE GDN GHV GIG GLA GOT GRU GVA GYD HAJ HAM HAV HEL HER HKG HND HRG IAD IAS IBZ ICN IST JED JFK KEF KLU KRK KTW KWI LAX LBA LCA LDE LHR LIG LIL LIS LMP LPA LTN LUX LUZ LXR LYS MAD MAH MAN MCT MEX MIA MJI MLA MLE MRU MUC NAP NCE NCL NTE NUE OLB OMO OPO ORD ORY OSL OTP OVD PEK PER PFO PHL PMI PMO PNL PRG PVG PVK RAK RHO RIX RMO RTM RUH RZE SAW SCV SDQ SEA SEZ SFO SHJ SIN SKG SOF SPU SSH STN SUF SVQ SXB SYD SZX TAS TBS TFS TFU TGD TGM TIA TLV TPE TRN TRS TUN UGC VIE VLC VRN WAW WNZ YUL YYC YYZ ZAD ZAG ZRH ZTH"
"FDE","1","OSL"
"FDF","20","ANU BGI BOD CAY CDG FCO HAV MIA ORY PAP POS PTP SDQ SFG SLU SVD SXM YQB YUL YYZ"
"FDH","16","ALC AYT BEG BER CLY CPH DUS EBA HAM HDF HER HRG LGW PMI PVK SKP"
"FEG","11","DME IKT IST KZN LED OVB SGC SKD TAS VKO ZIA"
"FEN","2","GRU REC"
"FEZ","16","AGA AMS BCN BLQ BOD BRU BVA CMN LPA LYS MRS MUC ORY RTM STN VLC"
"FGI","1","PPG"
"FGU","2","PPT RRR"
"FIH","31","ABJ ADD AUH BNB BRU BZV CAI CDG CMN COO DAR DLA DOH EBB FBM FKI GMA GOM IST JNB KGA KND LBV LFW LJA MDK MJM MNB NBJ NBO PNR"
"FIN","0",""
"FIZ","2","BME HCQ"
"FJR","4","BOM CCJ CNN COK"
"FKB","36","AGA AGP ALC AMM AYT BBU BEG BNX BRI BTS CAG FAO FUE HER IAS KGS LPA PMI RBA RHO RMO SBZ SCV SJJ SKG SKP STN SUF SVQ TFS TGD TGM TIA TPS TSR WRO"
"FKI","3","FIH GOM KND"
"FKQ","6","AHI BXB DOB KNG NTI SOQ"
"FKS","3","CTS ITM TPE"
"FLA","4","ACR BOG CLO LQM"
"FLG","2","DFW PHX"
"FLL","135","ABE ACY ALB ATL ATW AUA AUS AVL AXM BAQ BDL BEL BGR BLV BNA BOG BOS BQN BUF BWI BZE CAE CAK CAP CHA CID CLE CLO CLT CMH CNF CUN CVG DAL DCA DEN DFW DSM DTW ELH EWR EYW FPO FSD FWA GCM GGT GRR GSP GYE HOU HSV HTS HVN IAD IAH ILG ILM IND ISP JAX JFK KIN LAS LAX LCK LEX LGA LIR MBJ MCI MCN MCO MDE MDT MDW MEM MKE MSP MSY MYR NAS OMA ORD ORF PAP PDX PHL PHX PIT PNS POS PTY PUJ PVD RDU RFD RIC SAN SAP SAT SBN SBY SDF SDQ SEA SFO SJO SJU SLC STI STL STT STX SWF SXM SYR TLH TPA TTN TVC TYS USA VCP XNA XPL YHM YHZ YOW YQB YUL YVR YWG YYC YYZ"
"FLN","28","AEP ASU BSB CGB CGH CNF COR CWB CXJ EZE GEL GIG GRU GYN IGU LIM LIS MVD PET POA PTY ROS SCL SLA SSA URG VCP XAP"
"FLO","1","CLT"
"FLR","40","AHO AMS ARN ATH BCN BEG BGO BIO BOD BRU CAG CDG CPH CTA DUS EBA FCO FRA HAM HEL LCY LGW LHR LIS LUX LYS MAD MUC NCE NTE OLB OSL OVD STN SVQ SXB TLS VIE VLC ZRH"
"FLS","3","HBA LST MEB"
"FLW","4","CVU HOR PDL TER"
"FLZ","3","GNS KNO LXD"
"FMA","1","AEP"
"FMI","7","BNC BUX FBM FIH GOM KOO MJM"
"FMM","31","AHO ALC AMM AYT BBU BEG BNX BUD CLJ CLY CTA DUB FAO FCO GHV GRO HER IAS KUT PMI PMO PRN PSR RHO RIX RMO SJJ SOF TNG TSR ZAD"
"FMN","1","DEN"
"FMO","13","AGP ALC AYT CFU FUE HER HRG MUC PMI PRN RHO STN ZAD"
"FNA","13","ADD BJL BRU CKY CMN DSS IST LFW LGW LOS NBO OUA ROB"
"FNC","66","ACE AGP AMS ARN BCN BER BFS BHX BIO BOH BRS BRU BSL BTS BUD BVA CGN CPH CRL DUS EDI EMA EWR FAO FRA FUE GDN GLA HAJ HAM HEL LBA LGW LIS LPA LPL LTN LUX LYS MAD MAN MRS MUC MXP NCE NCL NTE NUE OPO OSL PDL PRG PXO RAK RIX SCQ STN STR SVQ TER TFN TFS TLL VIE VLC ZRH"
"FNI","3","CRL FEZ STN"
"FNJ","8","DSO PEK RGO SHE SVO VVO WOS YJS"
"FNR","0",""
"FNT","12","AZA BNA FLL JAX LAS ORD PDX PGD PIE SFB SRQ VPS"
"FOC","92","AKU AMS BKK CAN CGK CGO CGQ CJU CKG CSX CTU CZX DIL DLC DOY DSN DYG DZH ENY GYU HAK HAN HET HKG HLD HNY HRB HSN HTN ICN INC JFK JHG JNG JNZ KMG KTI KUL KWE KWL LHW LJG LYA LYG LYI LZO MDC MFM MIG NAO NGO NKG NNG NRT NTG PEK PKX PVG SHA SHE SHF SHS SIN SJW SYX TAO TFU TNA TPE TSA TSN TYN URC UYN VTE WEH WUH WXN XFN XIY XNN YBP YCU YIH YIN YNT YNZ YTY YYA ZAT ZUH ZYI"
"FOD","1","ORD"
"FOG","3","BLQ LIN TRN"
"FOO","2","BIK MKW"
"FOR","26","AEP BEL BSB CAY CDG CGH CNF CPV GIG GRU IGU JDO LIS MAD MAO MIA MVD NAT PHB RAO REC SLZ SSA THE VCP VIX"
"FPO","8","BIM CLT FLL MCO MHH MIA NAS YUL"
"FRA","240","ABV ACE ADB ADD AES AGA AGP ALA ALC ALF ALG AMM AMS ANC ANU ARN ASB ATH ATL AUH AUS AYT BAH BCN BEG BER BEY BGI BGO BGW BIA BIQ BJV BKK BLQ BOD BOJ BOM BOS BRE BRI BRU BSL BUD BVC BZG CAG CAI CAN CDG CGQ CHQ CLT CMB CMN COV CPH CPT CTA CUN DBV DEL DEN DFW DIY DJE DLM DMM DOH DRS DTW DUB DUS DXB EBL EDI ESB EWR FAO FCO FNC FSC FUE GDN GIG GLA GND GOT GPA GRU GRZ GVA GYD GZT HAM HAN HAV HDF HEL HER HKG HND HOG HRG HYD IAD IAH IBZ ICN IKA INN IST ISU IVL JED JFK JNB JSI KEF KGS KRK KTW KUL KWI LAS LAX LCA LEJ LHR LIN LIS LNZ LOS LPA LUX MAD MAH MAN MBA MCO MCT MIA MIR MLA MLE MLX MRU MSP MUC MXP NAP NCL NDR NQZ NRT NUE OLB ORD OTP OVD PDL PDX PEK PHC PHL PMI PMO POP POZ PRG PRN PSA PUJ PUY PVG RHO RIX RJK RMF RMO RSW RUH SAW SEA SFO SGN SHE SID SIN SJO SKG SKP SNN SOF SPC SPU SPX SSG STR SVG SVQ SYX SZF SZG SZX TAB TAS TFS TFU TIA TIV TLL TLV TOS TPE TRD TRN TRS TUN UBN URA URC VAR VCE VFA VIE VLC VRN WAW WRO XRY YHZ YUL YVR YYC YYZ ZAD ZAG ZRH ZTH"
"FRC","1","VCP"
"FRD","5","BFI BLI ESD OTS YYJ"
"FRE","2","HIR VAO"
"FRL","4","CAG PMO STN TBS"
"FRO","3","BGO OSL TRD"
"FRS","1","GUA"
"FRW","2","GBE JNB"
"FSC","19","BOD BSL BVA CRL FRA GVA LHR LIL LUX LYS MRS NCE NTE ORY RDZ SXB TLN TLS ZRH"
"FSD","13","ATL AZA BNA DEN DFW FLL LAS MSP ORD PGD PHX PIE SFB"
"FSH","1","KNO"
"FSM","1","DFW"
"FSP","5","CDG YGR YHZ YUL YYT"
"FSZ","10","CTS FUK HAN ICN IZO KOJ OKA PUS PVG TAO"
"FTE","9","AEP COR CRD EZE REL RGA RGL SCL USH"
"FTI","1","PPG"
"FUE","68","AGP AMS BCN BER BFS BGY BHX BIO BLQ BOD BOH BRE BRQ BRS BRU BSL BUD CDG CGN CPH CRL CWL DRS DUB DUS EMA FCO FMO FRA GLA HAJ HAM HEL KTW LBA LGW LIL LIS LPA LPL LTN LUX LYS MAD MAN MRS MUC MXP NCL NTE NUE OPO OSL OVD POZ PRG RTM SCQ SPC STN STR SVQ TFN TLS VRN WAW WRO ZRH"
"FUG","13","CAN CKG CSX CTU FUO HAK HSN KMG KWE PEK PVG SZX URC"
"FUJ","2","FUK NGS"
"FUK","54","ASJ AXJ BKI BKK CAN CJJ CJU CTS DLC DMK FSZ FUJ HAN HKG HNA HND IBR ICN ISG ITM IZO KCZ KHH KIJ KIX KMI KMQ KOJ KUL KUM MFM MMJ MNL MWX MYJ NGO NKM NRT OKA PEK PUS PVG SDJ SGN SHI SIN TAE TAO TKS TNE TPE TSJ XIY YNT"
"FUN","1","NAN"
"FUO","12","DSN FUG HGH HIA HSN PKX PVG SHA SJW TAO TFU WHA"
"FVM","0",""
"FWA","13","ATL AZA CLT DTW FLL LAS MSP MYR ORD PGD PIE SFB SRQ"
"FXE","2","HPN TEB"
"FYJ","5","HRB JMU OHE PEK TFU"
"FYN","4","LHW TFU URC YIN"
"FYU","5","ARC CIK FAI KBC VEE"
"FZL","1","GYD"
"FZNI","0",""
"GAJ","4","CTS HND ITM NKM"
"GAL","6","FAI HSL KAL KYU NUL RBY"
"GAM","2","OME SVA"
"GAN","6","CMB FVM GKK HDK KDM MLE"
"GAQ","2","BKO NIM"
"GAU","33","AJL AMD BBI BKK BLR BOM CCU CJB DEL DIB DMK DMU HGI HYD IMF IXA IXB IXC IXI IXS IXT JAI JRH LKO MAA PBH PNQ RUP SHL SIN TEI TEZ ZER"
"GAY","7","BKK CCU DEL DMK KTI PBH RGN"
"GBE","10","ADD BBK CPT DUR FRW HRE JNB LUN MUB WDH"
"GBJ","1","PTP"
"GBL","2","CKI DRW"
"GBT","9","JED KIH MED MHD PGU SYZ THR ZAH ZBR"
"GBZ","6","AKL NZNE TRG WIK WRE WTZ"
"GCC","1","DEN"
"GCI","13","ACI AGP BHX FAO GNB LBA LCY LGW LHR LPA MME PMI SOU"
"GCK","1","DFW"
"GCM","28","ATL BOS BWI CLT CYB DEN DFW DTW EWR FLL HAV IAD IAH JFK KIN LAX LCE LHR MCO MIA MSP NAS ORD PHL PTY TPA YOW YYZ"
"GDB","3","BOM HYD IDR"
"GDC","0",""
"GDE","3","ADD DIR JIJ"
"GDL","49","ACA ATL BOG CUN CUU DFW DGO FAT HMO IAH LAP LAS LAX MAD MCO MEX MIA MID MTY MZT NLU ORD PBC PDX PHX PTY PVR PXM REX RNO SAT SEA SJD SJO SLC SLP TAP TGZ TIJ TLC TQO TRC VER VSA YUL YVR YYC YYZ ZCL"
"GDN","60","AAR ABZ AES AGP ALC AMS ATH AYT BCN BDS BGO BHX BJV BOJ BRS BRU BTS BUD BVA CPH CTA DBV DLM DUS EMA FCO FRA GOT HEL HRG IST JTR KEF KRK LGW MAN MUC MXP NAP NCE NCL OSL OTP PMI RJK RZE SPU SSH TAT TFS TGD TIA TLL TRF TSF VAR VXO WAW ZAD ZRH"
"GDQ","3","ADD AXU LLI"
"GDT","3","PLS SLX XSC"
"GDV","1","BIL"
"GDX","15","BQS IKT KHV KJA KPW OVB PKC PWE SVO SWV UHMF UHMH UHMN UUD VVO"
"GDZ","6","DME KJA LED SVO SVX VKO"
"GEA","8","BMY ILP KNQ KOC LIF MEE TOU UVE"
"GEB","2","SOQ TTE"
"GEG","20","ANC ATL AZA BOI DAL DEN DFW LAS LAX MDW MSP ORD PDX PHX SAN SEA SFO SJC SLC SNA"
"GEL","3","FLN GRU POA"
"GEM","1","SSG"
"GEO","16","AMS ANU BGI BOG HAV IAH JFK LGW MIA PBM POS PTY SDQ SXM UVF YYZ"
"GER","1","HAV"
"GES","3","CEB ILO MNL"
"GET","4","BME KTA PER PHE"
"GFK","3","AZA LAS MSP"
"GGB","1","CGB"
"GGF","2","BEL MEU"
"GGG","1","DFW"
"GGJ","1","CWB"
"GGR","11","AAD ADD BIB BLW BSA DXB GLK HGA KMU MGQ NBO"
"GGT","7","ATL CLT FLL MIA NAS RSD YYZ"
"GGW","1","BIL"
"GHA","6","ALG AZR CZL ORN TMR VVZ"
"GHB","4","CLT ELH MIA NAS"
"GHC","1","NAS"
"GHS","3","AAP BPN DTD"
"GHT","1","MJI"
"GHV","16","AYT BUD DTM FCO FMM HER HRG KTW LCA LTN MIR MXP NAP NUE PMI WAW"
"GIB","5","BHX BRS LGW LHR MAN"
"GIC","2","HID SBR"
"GIG","57","AEP AJU AMS ASU ATL BEL BOG BPS BSB CDG CGB CGH CNF COR CWB CXJ DFW DXB EZE FCO FLN FOR FRA GRU GYN IAH IGU JFK JPA LHR LIM LIS MAD MAO MCP MCZ MDZ MIA MVD NAT NVT OPO POA PTY REC ROS SCL SJK SLZ SSA THE UDI VCP VIX VVI YUL YYZ"
"GIL","1","ISB"
"GIR","1","BOG"
"GIS","6","AKL HLZ NPE TRG WHK WLG"
"GIU","2","CMB TRR"
"GIZ","11","ADD AHB CAI DMM DXB HMB JED RUH SHJ TIF TUU"
"GJA","2","LCE RTB"
"GJL","2","ALG MRS"
"GJR","1","RKV"
"GJT","6","DEN DFW LAS PHX SLC SNA"
"GKA","3","HGU LAE POM"
"GKK","3","GAN KDO MLE"
"GKN","3","ANC MXY MYK"
"GLA","78","ACE AGA AGP ALC AMS AYT BCN BEB BER BFS BHD BHX BJV BOD BOJ BRR BRS CAL CDG CFU CHQ CMF CUN DBV DLM DUB DXB EAS EWR FAO FCO FNC FRA FUE GRO GVA HAJ HER HRG IBZ ILY KEF KGS KRK LCA LCY LGW LHR LPA LRM LSI LTN MAH MLA MXP NAP NBE ORK PMI PRG PRO PSA PUY RAK REU RHO SID SSH STN TFS TRN VIE VRN WMI WRO YYZ ZRH ZTH"
"GLH","2","ATL DFW"
"GLK","2","GGR MGQ"
"GLN","4","ACE CMN LPA TTA"
"GLT","1","BNE"
"GLU","2","CCU PBH"
"GLV","2","ELI WMO"
"GLX","0",""
"GMA","3","FIH LIQ MDK"
"GME","4","AYT LED SVO VKO"
"GMP","15","CJU HIN HND KHH KIX KPO KWJ NGO PEK PKX PUS RSU SHA TSA USN"
"GMQ","2","CTU XNN"
"GMR","2","HOI PPT"
"GMZ","2","LPA TFN"
"GNB","15","ARN BEG BHX BRS EDI GCI LGW LTN MAN NCL RTM SEN STN TLV WAW"
"GND","14","ANU ATL BGI CLT GEO JFK LGW LHR MIA POS SLU SVD UVF YYZ"
"GNI","1","TTT"
"GNJ","6","DME IST NAJ SAW SVO VKO"
"GNM","2","CNF SSA"
"GNS","5","KNO LXD PDG PKU SIW"
"GNU","2","BET PTU"
"GNV","4","ATL CLT DFW MIA"
"GNY","5","ADB AYT ESB IST SAW"
"GOA","20","AMS BCN BDS BRI BUD CAG CPH CTA FCO KRK MAD MAN MUC NAP OLB ORY OTP QSR TIA WAW"
"GOH","11","BLL CPH EWR JAV JEG JFR JHS KEF KUS SFJ YFB"
"GOI","23","ALA AMD BAH BHO BLR BOM CCU CJB COK DEL DXB HDO HYD IDR ISK IXC LKO MAA NQZ PEE PNQ RPR STV"
"GOJ","17","AER BEG CEK EVN HRG KGD KZN LED MRV OVB REN SSH SVO SVX TAS TBS UFA"
"GOM","10","ADD BJM BKY BNC BUX FBM FIH FKI FMI KND"
"GOP","6","BLR BOM CCU DEL HYD NMI"
"GOQ","5","CGO CTU LXA XIY XNN"
"GOT","27","AMS ATH BEG BER BIA BRU CAG CDG CFU DBV FCO GDN HRG JSI LHR LPA MXP PRG PUY PVK RHO RIX SKP TIA TZL VIE ZAG"
"GOU","3","DLA JED NSI"
"GOV","8","BNE CNS DRW ELC GTE LEL MGT RAM"
"GOX","31","AGX ALA AMD BDQ BLR BOM CCU DEL DIU DOH HYD IDR IXU JAI JLG LGW MAA MAN MCT MDA NDC NMI NQZ PAT PNQ RQY SHJ SSE SVO SVX TAS"
"GOY","1","KJA"
"GPA","19","BRU BTS DUS FRA HAJ KTW LIL LUX MUC MXP NTE ORY PRG RIX STR TSR VIE WAW ZRH"
"GPI","2","CLO PPN"
"GPN","1","DRW"
"GPS","3","CUE GYE UIO"
"GPT","8","ATL CLT DFW IAH LAS MCO MSP TPA"
"GRB","0",""
"GRI","3","AZA DFW LAS"
"GRJ","6","BFN CPT DUR HDS HLA JNB"
"GRK","1","DFW"
"GRO","32","AMS BBU BEM BHX BOH BRI BRS BRU BVA CRL EDI EMA GDN GLA KTW LBA LGW LTN LUX MAN NCL NRN NUE PAD PED POZ PSA PSR RAK RTM SJJ STN"
"GRQ","15","AYT BOJ DLM GZP HER HRG KGS LPA NOC NWI OSD PMI RHO SCR TFS"
"GRR","25","ATL AUS AZA BNA BWI CLT DEN DTW EWR FLL JAX LAL LAS LGA MCO MDW MIA MSP ORD PHL PIE SAV SNA TPA VPS"
"GRU","111","ADD AEP AJU AMS ASU ATL AUA BCN BEL BOG BPS BRC BSB BVB BYO CAC CBB CCS CDG CGB CGR CLV CMN CNF COR CPT CWB CXJ DFW DOH DXB EWR EZE FCO FEN FLN FOR FRA GEL GIG GYN IAD IAH IGU IMP IOS IST IZA JDO JFK JJD JJG JNB JOI JPA LAX LDB LHR LIM LIS MAD MAO MCO MCP MCZ MDZ MEX MGF MIA MOC MUC MVD MXP NAT NBJ NVT OPO OPS ORD PDP PEK PET PFB PMW PNZ POA PTY PUJ PVH RAO RBR REC ROS SCL SDU SJP SLA SLZ SSA THE UBA UDI USH VDC VIX VVI XAP YUL YYC YYZ ZRH"
"GRV","10","AYT DME IKA IST LED MED SGC SVO TAS VKO"
"GRW","1","TER"
"GRX","12","AMS BCN BIO LPA MAD MLN OPO ORY OVD PMI SDR TFN"
"GRY","1","AEY"
"GRZ","16","AOK AYT BER DUS FRA HAM HER HRG KGS LGW MUC RHO SAW TFS VIE ZRH"
"GSI","3","CAY LDX MPY"
"GSM","14","AWZ AZD DXB IFN JED KSH MCT MED MHD RAS SHJ SRY SYZ THR"
"GSO","13","ATL BDL CLT DCA DFW DTW LGA MCO MIA ORD PHL PIE SFB"
"GSP","27","ATL BDL BNA BWI CLT CMH DCA DEN DFW DTW EWR FLL HVN IAD IAH LAX LGA MCO MIA ORD PHL PIE PIT PVD RSW SFB SRQ"
"GST","1","JNU"
"GSV","14","AER AYT BUS EVN HRG KGD LED MCX NUX OVB SGC SVO SVX VKO"
"GTE","3","CNS DRW GOV"
"GTF","5","AZA DEN LAS SEA SLC"
"GTO","7","CGK LKM LUW MDC PWX UOL UPG"
"GTR","2","ATL DFW"
"GTS","4","ASP BNE DRW PER"
"GUA","16","ATL BOG DFW EWR FLL FRS HUX IAD IAH JFK LAX MCO MIA ORD SFO YUL"
"GUB","4","ESE GYM HMO MMCD"
"GUC","5","DAL DEN DFW IAH ORD"
"GUF","7","ATW BLV CVG MCI OKC OMA SGF"
"GUM","16","CEB HND HNL ICN KIX KSA KWA MAJ MNL NRT PUS ROP ROR TKK TPE YAP"
"GUP","2","LAS PHX"
"GUR","3","LSA MIS POM"
"GUW","19","AKX ALA AMS BUS CIT DMB DXB GYD IST KUT MXP NCU NQZ SAW SCO SVO TAS TBS URA"
"GVA","99","ABZ ADD AGA AJA ALC ALG AMM AMS ARN ASR ATH AUH AYT BAH BCN BEG BER BEY BHX BRS BRU CAI CDG CFU CMN CPH CTA DOH DUB DUS DXB EDI EMA ESB EWR FAO FCO FNC FUE GLA GOT HAM HEL IAD IST JED JTR KEF KRK KWI LCA LCG LCY LGW LHR LIL LIS LPL LRH LTN LTT LUX LYS MAD MAN MRU MUC NCE NCL OLB OPO ORK ORY OSL OTP PEK PRG PRN PVG RAK RHO RIX RMO RNS RTM RUH SAW SEN STN TFS TIV TLL TLV TUN VIE VLC WAW YUL ZTH"
"GWL","4","AMD BLR BOM DEL"
"GWT","8","DUS FRA LUX MHG MUC STR VIE ZRH"
"GXF","3","ADE CAI JED"
"GXH","3","LXA TFU XIY"
"GYA","2","TDD VVI"
"GYB","3","BNE KYB PER"
"GYD","81","ADB ALA AMM ATH AUH AYT BAH BCN BEG BER BGW BJV BOM BSZ BUD BUS CAN CDG CEK CIT COV DEL DLM DME DMM DOH DXB DYU EBL ESB FCO FRA FZL GUW GVA IKA ISB IST ISU JED KHI KJA KWI LED LHE LHR MCT MED MLE MSQ MXP NAJ NJC NQZ OVB PEE PEK PRG REN RMO RUH SAW SCO SGC SHJ SKD SSH SVO SVX TAS TBS TBZ TGD TIV TJM TLV TZX URC VIE VKO WAW"
"GYE","17","AMS BOG CUE EZE FLL GPS JFK LIM MAD MIA PTY PUJ SAL SCL SCY SJO UIO"
"GYL","0",""
"GYM","2","GUB LTO"
"GYN","11","BSB CGB CGH CNF GIG GRU MCZ PMW REC SSA VCP"
"GYS","16","CAN CGO CSX HAK HGH KMG KWE LXA NGB NKG PEK PVG SJW SZX TNA URC"
"GYU","7","CTU FOC INC PKX PVG SJW XIY"
"GYY","0",""
"GZG","1","TFU"
"GZM","0",""
"GZP","20","AAL AER ALA AMS ARN BEG BER CLJ CPH ESB GRQ HEL INI IST LEJ NQZ OSL OTP SAW VKO"
"GZT","18","ADB AYT BER BGW BSL CGN DUS EBL ECN ESB FRA HAJ IST MUC SAW STN STR ZRH"
"HAA","2","HFT TOS"
"HAC","1","HND"
"HAH","6","ADD DAR DZA IST NBO RUN"
"HAJ","59","ADB AGP AJR ALC AMS ASR ATH AYT BCN BEG BEY BIA BJV BOJ BVC BZO CDG CFU COV CPH DIY DJE DLM DWC EBL FAO FNC FRA FUE GLA GPA HER HRG IBZ IST KGS KLU LCA LHR LPA MAH MIR MUC MXP NCE OLB PMI PRN RHO RMF SAW SKG SUF SZF TFS VAR VIE XRY ZRH"
"HAK","129","ACX AKA AKL ALA AUH BAV BKK BZX CAN CGD CGK CGO CGQ CIF CIH CKG CSX CTU CZX DLC DSN DXB DXJ DYG ENH FOC FUG GYS HAN HCZ HDG HET HFE HGH HIA HKG HLD HNY HRB HSC HUZ HYN HZA INC IQN JED JGS JIQ JIU JJN JUZ KCH KHN KIX KMG KOW KTI KUL KWE KWL LHR LHW LLF LNL LPQ LYA LYG LYI LZH MEL MIG NAO NGB NKG NNG NRT NTG PEK PEN PKX PUS PVG SGN SHA SHE SHS SIN SJW SUB SVO SWA SYD SZX TAO TFU TNA TPE TSN TVS TYN URC UYN VTE WDS WEF WGN WMT WNZ WUH WUX WXN XAI XFN XIC XIY XMN XNN XUZ YBP YCU YIH YIN YIW YNZ YYA ZHA ZQZ ZUH ZYI"
"HAM","102","ACE ADB AGP ALC AMM AMS ARN ASR ATH AYT BBU BCN BEG BGO BIO BRI BRU BSL BUD BZO CAG CDG CFU CGN CHQ CPH DLM DOH DUB DUS DXB EBL ESB EVN FAO FCO FLR FNC FRA FUE GDN GRZ GVA HEL HER HRG IBZ IST JMK KAO KEF KGS KLU KLX KUT LCA LGW LHR LIN LIS LPA LUX LYS MAD MAN MIR MUC MXP NAP NCE NTE OSL OTP PMI RAK RHO RIX RMF RMO SAW SBZ SCN SKG SKP SOF SPC SZG TFS TGD TIA TLL TZL VAR VIE VLC VRN WAW XRY ZAD ZAG ZRH ZTH"
