"origin","nb_outlinks","outlinks","weights","nb_airlines"
"ASP","0","","","0"
"ASR","0","","","0"
"ASU","3","MDE MIA MVD","1 2 1","2"
"ASV","0","","","0"
"ASW","0","","","0"
"ATA","0","","","0"
"ATD","0","","","0"
"ATH","0","","","0"
"ATK","0","","","0"
"ATL","12","CHS CVG EWR FRA GSO ICN IND JAX MEM OAK PNS SAV","1 1 1 1 1 1 1 1 1 1 1 1","4"
"ATM","0","","","0"
"ATQ","0","","","0"
"ATT","0","","","0"
"ATW","0","","","0"
"ATY","0","","","0"
"ATZ","0","","","0"
"AUA","0","","","0"
"AUC","0","","","0"
"AUG","0","","","0"
"AUH","16","AMS ASB BOM BOS CDG CGP DAC DEL DMM EHU FRA HAN HKG LCK MIA PVG","1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1","4"
"AUK","0","","","0"
"AUL","0","","","0"
"AUQ","0","","","0"
"AUR","0","","","0"
"AUS","0","","","0"
"AUU","0","","","0"
"AUX","0","","","0"
"AUY","0","","","0"
"AVA","0","","","0"
"AVL","0","","","0"
"AVP","3","ABE ALB CVG","1 1 1","2"
"AVR","0","","","0"
"AVV","0","","","0"
"AWA","0","","","0"
"AWB","0","","","0"
"AWK","0","","","0"
"AWZ","0","","","0"
"AXA","0","","","0"
"AXD","0","","","0"
"AXF","0","","","0"
"AXJ","0","","","0"
"AXM","0","","","0"
"AXP","0","","","0"
"AXR","0","","","0"
"AXT","0","","","0"
"AXU","0","","","0"
"AXX","0","","","0"
"AYJ","0","","","0"
"AYN","0","","","0"
"AYP","0","","","0"
"AYQ","0","","","0"
"AYT","0","","","0"
"AYW","0","","","0"
"AYX","0","","","0"
"AZA","0","","","0"
"AZD","0","","","0"
"AZN","0","","","0"
"AZO","1","BKL","1","0"
"AZR","0","","","0"
"AZS","0","","","0"
"BAH","28","AMM AMS AUH BGW BKK BLR BRU CAI CVG DEL DOH DWC DXB FRA HKG IST JED JFK KDH KHI KWI LEJ LGG LHE LUX NBO SHJ SIN","1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 1 1 1 1 1 1","8"
